question,answer_text,distractor
What 'S the main idea of the text ?,The lack of career -- based courses in US high schools,"'the difference of tests in learning and modern books', 'how to make quick use of college college', 'limited and disadvantages of education'"
"In the summer high season , Finland does nt seem to sleep because",the sun is out at night,"'the sun is too unclear', 'there is no time to the sun', 'you will watch tv'"
"If you want to apply for Chinese Business Internship program successfully , you 'll",have to get confirmed at least twice,"'have more printed books', 'take to the new york', 'try your department and the'"
"That afternoon , the boy 's clothes were dry because",nobody made room for him in the water .,"'the monkey could let him', 'he did want to take the place', 'there are big noise of the water'"
Which of the following statements is NOT true ?,There are twelve countries in the World Wildlife Fund .,"'the chinese people do like the harm of the environment', 'zoo and are the most valuable of our crops', 'it will be responsible for the workforce people in the world'"
"The problem of "" lock - in "" can be dangerous because",it may make it difficult for customers to recover their data,"'it can help us to stop the mobile phone', 'the more productive it can be used', 'people use it to the public transport'"
The passage is mainly about,how Billy made blueberry juice with his uncle,"'how to choose his father', 'why the queen father liked his father', 'what the queen of the first paper'"
Which of the following in not true ?,The snail 's teeth ca n't be worn out ..,"'the extreme of the extreme', 'it takes to find the medicine', 'all belts are closely by the colour'"
What should you do at mealtime ?,Eat the food your host family gives you .,"'the tea you eat', 'you have processed', 'tea your tea'"
"The part of "" Only you can make a card like this one "" is to tell the readers",how to make a meaningful DIY card,"'how to write your own information', 'the picture is opened', 'what it is convenient to use chat'"
Why does Ben Brauch love his job of Santa impersonator ?,Because he enjoys playing with children .,"'because he does think educational', 'he seldom loses the fox', 'so the doll was foolish'"
Who is a blogger ?,A person who posts text or photos in a blog .,"'an director who who wrote', 'who names letters', 'person with the internet'"
"According to the passage , Charles Darwin 's whole life was changed by",the voyage of the Beagle,"'the loss of the', 'april the', 'an oscar story story'"
What did Fly do when he pulled a piece of meat ?,He pulled a plate to the floor .,"'he did throw the', 'the roll was too dirty', 'his father told him to the'"
What can we learn from the passage ?,Learn to forgive others and remember to be thankful to others .,"'try to learn the steps of the road', 'do like to learn with the children in the classroom', 'we need to learn with the day'"
It can be inferred from the passage that advertisements can be useful if they,give true information about goods,"'make the manager of the local', 'get some information about the stores', 'be the best shop'"
The downfall of the Arthur Andersen accounting firm is due to,its dishonesty in business,"'the of the city', 'provide people to use the use of the', 'demand of the money'"
Which is wrong ?,Li Yun can sing very well .,"'he does want to go to school', 'the old man does want to go to school', 'it takes to go to home'"
What 's the students ' attitude to universities in the survey ?,Most of them are willing to go to university .,"'it is easy for teachers to learn from college', 'students interest more chances in working', 'the school is more important than the students'"
What would be the best title for the text ?,A supper runner -- Patti Wilson,"'mr smith', 'ms', 'true friend'"
"If you want to join the activity , you 're supposed to    ",make an appearance at the starting day,"'get the map of the palace', 'take your youth', 'choose some days before the'"
What is the main purpose of the author in writing the passage ?,To give the readers brief introduction of solar ovens .,"'to show how to protect the sun', 'by paying for the', 'when we can the sound of the sun'"
Whose story is related to astronomy ?,Mark Twain 's,"'show how to make columbus movie', 'give john', 'collect pictures'"
"According to the author , when we do anything wrong we firstly",admit we were wrong and try to make the wrong right,"'the wrong assistant would apologize them to help them', 'should always take the best though they want to be', 'do have to make sure some the time'"
What does Harrison do first when testing ice cream ?,He lets the ice cream warm up .,"'he does use the camera', 'the tomato goes the water', 'his ears goes the right'"
What Prof Wilkins said suggests that,he is confident in the tremor - resistant home,"'he thinks it is the most important activity in the world', 'running can be used at school', 'his wife does know the performance'"
The author thinks the golf is resource - hungry because of the following EXCEPT that,Golf is bad for people 's health,"'people do like to eat', 'there is no need to employment the employment of the old', 'it does not good way to get rid of the houses'"
Which of the following statement is NOT true ?,"After receiving the medical treatment , Jobs was in good health again .","'the exam was first aid for the test', 'he devoted the work for farmers and nurses', 'was born in favor and kidney disease'"
"The machine said quickly "" Will one of you get off ? "" because   ",the third woman was too fat,"'the man was too dirty', 'she did want to follow the man', 'he wanted to get the man'"
The author wrote the passage for the purpose of,encouraging us to do some voluntary work .,"'suggest that people should have the right to choose the employment', 'show how to manage the national government', 'warn women to learn more about the various of the united states'"
What happens to the food that ca n't be fully broken down ?,It will be eventually moved out of our body .,"'it will cost the cost of the living', 'the device will be used', 'we should make the best toys'"
"If you want to buy something fashionable to wear , you 'd better go to",Fifth Avenue,"'grand royal palace', 'court royal palace', ''"
Why did Tom Cruise say the film was challenging for him ?,Because he felt it a heavy task to present the real history .,"'because he did know how to do so', 'he did know how to do so', 'the writer did know how to do so'"
What is the BEST title for the passage ?,Love notes,"'true', 'how', 'the importance of reading'"
What made Shawn Lee return to attend college again ?,That he wanted to find a better job .,"'because he was too busy for the teachers', 'he did know how to do so', 'the teacher did know how to do so'"
Which of the following is TRUE about homeschooling according to the text ?,Some parents have to homeschool their children when living abroad .,"'children should have good friends with their children', 'parents are worried to take their children to their children', 'the students did like to be'"
What is Stacy DeBroff 's warning to immigrant parents ?,Do n't bring up their children as their parents did .,"'do want to take with the children', 'try the best to get along', 'should spend more money on doing'"
Ryan Stewart will have to,go back to school,"'go to school', 'get along to school', 'expect for the school'"
What will you do to satisfy your son 's curiously about marine animals ?,You prefer the tour to Bayside and Hard Rock .,"'you can find boat to ride the boat', 'the music of big', 'sea music'"
